Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Yearly Hovercraft	Chicken Invasion	20	68%	88%	Eurynome	
Wide Oysterman	Boss Rush	6	88%	94%	Eurynome	
Thick Companionway	Chicken Invasion	7	5%	12%	Alpha Eurynome	
Impossible Lightship	Boss Rush	7	47%	54%	Alpha Eurynome	
Hateful Crabapple	Chicken Invasion	6	33%	39%	Alpha Eurynome	
Acclaimed Crabapple	Chicken Invasion	24	13%	37%	Alpha Eurynome	
Overlooked Destruct	Boss Rush	10	71%	81%	Alpha Eurynome	
Crafty Liminality	Feather Fields	10	69%	79%	Psi Eurynome	
Elementary Clairvoyance	Comet Chase	13	30%	43%	Psi Eurynome	
Enraged Decile	Chicken Invasion	16	78%	94%	Psi Eurynome	
Deserted Fishwife	Chicken Invasion	20	12%	32%	Delta Eurynome	
Organic Benefactress	Supernova	5	52%	57%	Gelos	
Winding Surfactant	Supernova	15	25%	40%	Gelos	
Legitimate Counterbalance	Supernova	14	95%	100%	Gelos	
Wide Repugnance	Boss Rush	5	72%	77%	Gelos	
Jam-packed Amine	Chicken Invasion	24	77%	100%	Gelos	
Long-term Comprehensibility	Chicken Invasion	7	22%	29%	Gelos	
Zany Loss	Chicken Invasion	6	21%	27%	Gelos	
Alarming Silversides	Chicken Invasion	20	56%	76%	Alpha Gelos	
Unfolded Flameout	Chicken Invasion	36	37%	73%	Psi Gelos	
Slimy Tidewater	Squawk Block	10	46%	56%	Psi Gelos	
Long Birdcall	Boss Rush	10	74%	84%	Psi Gelos	
Skeletal Extrication	Boss Rush	4	26%	30%	Psi Gelos	
Square Insect	Supernova	8	36%	44%	Sophrosyne	
Sweet Photoreceptor	Boss Rush	5	24%	29%	Sophrosyne	
Hidden Draper	Chicken Invasion	24	31%	55%	Sophrosyne	
Canine Handcart	Chicken Invasion	30	16%	46%	Sophrosyne	
Lasting Hospital	Feather Fields	6	60%	66%	Sophrosyne	
Meaty Carfare	Chicken Invasion	21	78%	99%	Sophrosyne	
Tense Guest	Chicken Invasion	12	81%	93%	Sophrosyne	
Attached Basket	Chicken Invasion	14	0%	14%	Alpha Sophrosyne	
Probable Ambassadorship	Chicken Invasion	27	6%	33%	Alpha Sophrosyne	
Illustrious Assignment	Feather Fields	6	41%	47%	Alpha Sophrosyne	
Separate Airport	Chicken Invasion	20	7%	27%	Alpha Sophrosyne	
Fuzzy Chocolate	Boss Rush	3	19%	22%	Alpha Sophrosyne	
Glum Obeisance	Chicken Invasion	10	40%	50%	Gamma Sophrosyne	
Impure Friary	Boss Rush	4	28%	32%	Gamma Sophrosyne	
Worried Terrapin	Boss Rush	8	15%	23%	Gamma Sophrosyne	
Noted Mom	Chicken Invasion	5	93%	98%	Gamma Sophrosyne	
Dental Metier	Supernova	13	45%	58%	Mylas	
Foolish Diptych	Chicken Invasion	32	8%	40%	Mylas	
Creepy Incompetence	Chicken Invasion	36	39%	75%	Mylas	
Formal Preclusion	Chicken Invasion	21	83%	100%	Mylas	
Cultivated Shopgirl	Feather Fields	15	11%	26%	Mylas	
Worthless Kerf	Chicken Invasion	10	92%	100%	Mylas	
Unlucky Gorget	Chicken Invasion	18	17%	35%	Alpha Mylas	
Strident Factuality	Comet Chase	9	15%	24%	Beta Mylas	
Hard Aerogel	Boss Rush	5	17%	22%	Beta Mylas	
Agile Solubility	Squawk Block	20	8%	28%	Beta Mylas	
Gentle Instruction	Chicken Invasion	30	78%	100%	Beta Mylas	
Sturdy Independence	Chicken Invasion	36	31%	67%	Chi Mylas	
Decent Minuet	Chicken Invasion	18	83%	100%	Chi Mylas	
Humiliating Externalization	Squawk Block	6	95%	100%	Chi Mylas	
Threadbare Colonialist	Comet Chase	6	54%	60%	Chi Mylas	
Agreeable Hatbox	Boss Rush	4	16%	20%	Delta Mylas	
Cold Election	Chicken Invasion	6	55%	61%	Delta Mylas	
Soft Deliveryman	Supernova	9	53%	62%	Oebalus	
Tight Chambray	Squawk Block	15	60%	75%	Oebalus	
Classic Aphelion	Chicken Invasion	24	48%	72%	Oebalus	
Front Lionfish	Comet Chase	14	10%	24%	Oebalus	
Glum Repugnance	Boss Rush	9	32%	41%	Oebalus	
Kind Injury	Chicken Invasion	10	95%	100%	Oebalus	
Wrong Heatwave	Boss Rush	4	67%	71%	Oebalus	
Incompatible Birthday	Comet Chase	5	58%	63%	Alpha Oebalus	
Shy Potato	Comet Chase	11	51%	62%	Psi Oebalus	
Serious Businessperson	Squawk Block	17	57%	74%	Psi Oebalus	
Powerful Stylization	Chicken Invasion	8	92%	100%	Psi Oebalus	
Imperturbable Glaciation	Chicken Invasion	9	40%	49%	Psi Oebalus	
Abandoned Workpiece	Squawk Block	17	23%	40%	Psi Oebalus	
Outrageous Robbin	Chicken Invasion	12	61%	73%	Psi Oebalus	
Spirited Truncheon	Chicken Invasion	10	82%	92%	Chi Oebalus	
Damaged Penury	Chicken Invasion	9	74%	83%	Chi Oebalus	
Disastrous Inviolability	Comet Chase	9	15%	24%	Chi Oebalus	
Slippery Fibrin	Chicken Invasion	7	34%	41%	Chi Oebalus	
Tough Yawl	Chicken Invasion	30	61%	91%	Chi Oebalus	
Barren Attractant	Chicken Invasion	28	50%	78%	Chi Oebalus	
Naive Downshift	Darkness	16	43%	59%	Phi Oebalus	
Grounded Kilim	Double Team	6	54%	60%	Phi Oebalus	Sweater + Mysterious
Empty Inspector	Boss Rush	9	6%	15%	Phi Oebalus	
Essential Pie	Chicken Invasion	21	13%	34%	Phi Oebalus	
Humble Entombment	Boss Rush	7	16%	23%	Phi Oebalus	
Productive Gesticulation	Chicken Invasion	36	49%	85%	Epsilon Oebalus	
Selfish Prioritization	Chicken Invasion	20	43%	63%	Epsilon Oebalus	
Decimal Vanload	Chicken Invasion	21	89%	100%	Epsilon Oebalus	
Coarse Horsemanship	Boss Rush	8	0%	8%	Epsilon Oebalus	
Pleasing Chug	Squawk Block	16	41%	57%	Epsilon Oebalus	
Lanky Tipster	Squawk Block	9	71%	80%	Zeta Oebalus	
Defensive Lodestar	Chicken Invasion	20	13%	33%	Zeta Oebalus	
Modest Biowarfare	Comet Chase	7	58%	65%	Zeta Oebalus	
Offbeat Flutist	Chicken Invasion	6	13%	19%	Zeta Oebalus	
Phony Titmouse	Chicken Invasion	18	18%	36%	Zeta Oebalus	
Sweltering Metrology	Chicken Invasion	10	36%	46%	Zeta Oebalus	
Hateful Relinquishment	Boss Rush	8	30%	38%	Eta Oebalus	
Lost Bowrider	Darkness	8	48%	56%	Eta Oebalus	
Well-groomed Wheatgrass	Chicken Invasion	28	99%	100%	Eta Oebalus	
Silver Handstand	Chicken Invasion	10	65%	75%	Eta Oebalus	
Appropriate Fusillade	Feather Fields	13	64%	77%	Eta Oebalus	
Better Krater	Feather Fields	9	53%	62%	Eta Oebalus	
Firm Novelization	Chicken Invasion	36	41%	77%	Rho Oebalus	
Prime Warlock	Comet Chase	7	25%	32%	Rho Oebalus	
Tattered Football	Feather Fields	10	57%	67%	Rho Oebalus	
Kooky Bollard	Squawk Block	5	1%	6%	Rho Oebalus	
Second-hand Territoriality	Boss Rush	3	24%	27%	Rho Oebalus	
Frayed Polltaker	Chicken Invasion	7	59%	66%	Iota Oebalus	
Quarterly Dishcloth	Feather Fields	13	11%	24%	Iota Oebalus	
Crafty Codebook	Darkness	21	11%	32%	Iota Oebalus	
Sweaty Unknowability	Chicken Invasion	10	30%	40%	Iota Oebalus	
Frugal Assistance	Supernova	14	43%	57%	Ariadne	
New Headspace	Supernova	8	65%	73%	Ariadne	
Shocked Interdict	Chicken Invasion	20	80%	100%	Ariadne	
Clean Chaparral	Chicken Invasion	10	84%	94%	Alpha Ariadne	
Blond Resolution	Comet Chase	15	2%	17%	Alpha Ariadne	
Parallel Pyrolysis	Chicken Invasion	18	68%	86%	Beta Ariadne	
Agitated Farmer	Boss Rush	10	68%	78%	Beta Ariadne	
Infinite Faille	Chicken Invasion	15	47%	62%	Beta Ariadne	
Ripe Selectman	Chicken Invasion	10	90%	100%	Beta Ariadne	
Late Racecourse	Darkness	18	52%	70%	Beta Ariadne	
Imperfect Blackfly	Chicken Invasion	18	36%	54%	Beta Ariadne	
Poor Variation	Feather Fields	14	39%	53%	Gamma Ariadne	
Tired Subsumption	Chicken Invasion	30	65%	95%	Gamma Ariadne	
Wooden Gringa	Supernova	13	86%	99%	Matton	
Short-term Mixture	Supernova	5	21%	26%	Matton	
Squeaky Mud	Supernova	5	99%	100%	Matton	
Plain Analyst	Squawk Block	5	69%	74%	Matton	
Unripe Loden	Chicken Invasion	21	54%	75%	Matton	
Secondary Sobriquet	Boss Rush	7	43%	50%	Matton	
Unlawful Surmise	Chicken Invasion	18	34%	52%	Alpha Matton	
Nutty Godparent	Chicken Invasion	28	1%	29%	Alpha Matton	
Gummy Periodization	Comet Chase	9	55%	64%	Alpha Matton	
Fuzzy Carob	Chicken Invasion	15	14%	29%	Alpha Matton	
Velvety Revenue	Boss Rush	5	27%	32%	Alpha Matton	
Elaborate Horizontality	Meteor Storm	13	91%	100%	Bagba	
Calm Marguerite	Meteor Storm	13	72%	85%	Bagba	
Circular Taxman	Meteor Storm	13	40%	53%	Bagba	
Short Employer	Meteor Storm	9	85%	94%	Bagba	
Evergreen Obeisance	Meteor Storm	12	25%	37%	Bagba	
Filthy Codger	Meteor Storm	8	24%	32%	Bagba	
Bony Phantasm	Chicken Invasion	5	96%	100%	Gamma Matton	
Rosy Tambour	Supernova	6	21%	27%	Ersa	
Illustrious Presentation	Supernova	11	46%	57%	Ersa	
Fearful Autobahn	Chicken Invasion	18	53%	71%	Ersa	
Muffled Football	Boss Rush	8	67%	75%	Ersa	
Droopy Micromachine	Chicken Invasion	24	36%	60%	Ersa	
Young Dustpan	Chicken Invasion	14	47%	61%	Ersa	
Adored Gamesmanship	Chicken Invasion	24	58%	82%	Ersa	
Testy Scorch	Chicken Invasion	40	92%	100%	Ersa	
Yawning Enumerator	Boss Rush	9	73%	82%	Alpha Ersa	
Glittering Rheostat	Chicken Invasion	30	58%	88%	Alpha Ersa	
Dead Discussant	Squawk Block	15	86%	100%	Alpha Ersa	
Electric Aerialist	Chicken Invasion	12	50%	62%	Alpha Ersa	
Pitiful Liminality	Feather Fields	5	7%	12%	Gamma Ersa	
Athletic Stalagmite	Chicken Invasion	36	51%	87%	Gamma Ersa	
Winding Medlar	Supernova	7	38%	45%	Cybele	
Weary Cognizance	Supernova	7	57%	64%	Cybele	
Pushy Gladiolus	Chicken Invasion	24	35%	59%	Cybele	
Blue Poplin	Chicken Invasion	18	95%	100%	Cybele	
Fatherly Circumscription	Comet Chase	10	59%	69%	Cybele	
Majestic Judgment	Boss Rush	6	30%	36%	Cybele	
Every Foreknowledge	Chicken Invasion	5	99%	100%	Alpha Cybele	
Generous Fusillade	Supernova	14	12%	26%	Menelaus	
Spry Deadweight	Squawk Block	7	96%	100%	Menelaus	
Winding Canoeist	Chicken Invasion	5	33%	38%	Menelaus	
Disloyal Titmouse	Chicken Invasion	6	20%	26%	Alpha Menelaus	
Variable Dorado	Squawk Block	15	96%	100%	Alpha Menelaus	
Overdue Improvement	Chicken Invasion	24	70%	94%	Alpha Menelaus	
Attentive Fibrin	Chicken Invasion	6	61%	67%	Alpha Menelaus	
Idiotic Photonics	Chicken Invasion	6	98%	100%	Alpha Menelaus	
Shimmering Cockerel	Chicken Invasion	28	64%	92%	Alpha Menelaus	
Inexperienced Pickaxe	Chicken Invasion	32	7%	39%	Beta Menelaus	
Admirable Debe	Chicken Invasion	8	27%	35%	Beta Menelaus	
Well-made Homework	Chicken Invasion	20	81%	100%	Beta Menelaus	
Magnificent Scorch	Chicken Invasion	24	31%	55%	Chi Menelaus	
Kindhearted Transmutation	Boss Rush	9	53%	62%	Chi Menelaus	
Grounded Flammability	Boss Rush	9	34%	43%	Chi Menelaus	
Subdued Worsted	Chicken Invasion	20	14%	34%	Chi Menelaus	
Medium Predication	Darkness	20	53%	73%	Chi Menelaus	
Rosy Codicil	Chicken Invasion	6	99%	100%	Chi Menelaus	
Linear Delivery	Chicken Invasion	28	88%	100%	Delta Menelaus	
Gorgeous Diplomate	Comet Chase	11	76%	87%	Delta Menelaus	
Total Disembarkation	Darkness	30	63%	93%	Delta Menelaus	
Elegant Steak	Squawk Block	8	80%	88%	Delta Menelaus	
Criminal Palfrey	Chicken Invasion	15	35%	50%	Delta Menelaus	
Impossible Showboat	Chicken Invasion	16	86%	100%	Delta Menelaus	
Poised Crus	Comet Chase	15	47%	62%	Epsilon Menelaus	
Single Broadtail	Comet Chase	15	70%	85%	Epsilon Menelaus	
Luminous Ghee	Chicken Invasion	30	96%	100%	Epsilon Menelaus	
Likely Passenger	Chicken Invasion	28	52%	80%	Epsilon Menelaus	
Authorized Revetment	Chicken Invasion	10	87%	97%	Epsilon Menelaus	
Scared Warpath	Chicken Invasion	14	33%	47%	Epsilon Menelaus	
Embellished Pillory	Chicken Invasion	32	31%	63%	Eta Menelaus	
Lame Backlight	Supernova	11	10%	21%	Bia	
Circular Toile	Supernova	14	53%	67%	Bia	
Fake Hairdryer	Supernova	7	73%	80%	Bia	
Windy Emphasis	Chicken Invasion	24	50%	74%	Bia	
Unsightly Analyst	Feather Fields	6	65%	71%	Alpha Bia	
Trim Kerf	Chicken Invasion	28	44%	72%	Alpha Bia	
Cruel Enucleation	Chicken Invasion	12	71%	83%	Beta Bia	
Failing Airframe	Chicken Invasion	10	4%	14%	Beta Bia	
Humming Ostinato	Chicken Invasion	7	7%	14%	Beta Bia	
Upbeat Childhood	Feather Fields	11	48%	59%	Beta Bia	
Woozy Guidance	Chicken Invasion	27	72%	99%	Delta Bia	
Dazzling Delivery	Supernova	14	85%	99%	Phantasos	
Lawful Madder	Supernova	7	27%	34%	Phantasos	
Outrageous Adventurousness	Supernova	14	49%	63%	Phantasos	
Colorful Anklet	Chicken Invasion	6	23%	29%	Phantasos	
Extroverted Pressroom	Comet Chase	10	86%	96%	Phantasos	
Grimy Circumscription	Chicken Invasion	10	8%	18%	Phantasos	
Different Stewpot	Comet Chase	15	28%	43%	Phantasos	
Hard-to-find Brusqueness	Chicken Invasion	32	79%	100%	Alpha Phantasos	
Gentle Kerf	Squawk Block	6	13%	19%	Psi Phantasos	
Physical Attender	Chicken Invasion	24	78%	100%	Psi Phantasos	
Writhing Presentiment	Chicken Invasion	10	65%	75%	Psi Phantasos	
Verifiable Panfish	Squawk Block	5	36%	41%	Gamma Phantasos	
Intent Palfrey	Boss Rush	6	21%	27%	Gamma Phantasos	
Tubby Sobriquet	Chicken Invasion	24	75%	99%	Gamma Phantasos	
Rude Destructor	Chicken Invasion	14	78%	92%	Gamma Phantasos	
Authentic Gearhead	Chicken Invasion	27	52%	79%	Gamma Phantasos	
Quarterly Comradeship	Boss Rush	5	46%	51%	Delta Phantasos	
Interesting Town	Feather Fields	14	25%	39%	Delta Phantasos	
Blushing Rehash	Darkness	10	57%	67%	Delta Phantasos	
Everlasting Cookie	Feather Fields	9	54%	63%	Delta Phantasos	
Memorable Lightheartedness	Darkness	16	27%	43%	Delta Phantasos	
Muffled Chest	Comet Chase	15	4%	19%	Upsilon Phantasos	
Beneficial Chaparral	Supernova	14	67%	81%	Lachesis	
Haunting Permission	Chicken Invasion	14	27%	41%	Lachesis	
Reflecting Farmer	Chicken Invasion	12	90%	100%	Lachesis	
Lean Preclusion	Chicken Invasion	28	20%	48%	Lachesis	
Bossy Ladder	Chicken Invasion	10	50%	60%	Lachesis	
Torn Volume	Comet Chase	6	69%	75%	Lachesis	
Outrageous Blondness	Squawk Block	15	76%	91%	Alpha Lachesis	
Courteous Brainwave	Chicken Invasion	21	10%	31%	Alpha Lachesis	
Powerful Chapter	Chicken Invasion	20	14%	34%	Alpha Lachesis	
Judicious Vanload	Darkness	16	41%	57%	Alpha Lachesis	
Elated Predication	Darkness	8	6%	14%	Alpha Lachesis	
Untimely Legitimization	Supernova	7	56%	63%	Antiope	
Darling Pasteboard	Supernova	14	31%	45%	Antiope	
Exotic Curandero	Chicken Invasion	21	60%	81%	Antiope	
Zesty Depressant	Chicken Invasion	32	92%	100%	Antiope	
Tight Susurration	Chicken Invasion	40	68%	100%	Antiope	
Orderly Legitimization	Chicken Invasion	18	68%	86%	Antiope	
Essential Platform	Chicken Invasion	20	46%	66%	Alpha Antiope	
Real Engine	Chicken Invasion	28	18%	46%	Alpha Antiope	
Calculating Delimitation	Boss Rush	4	8%	12%	Alpha Antiope	
Sure-footed Legionary	Boss Rush	7	76%	83%	Alpha Antiope	
Victorious Sullenness	Chicken Invasion	10	5%	15%	Alpha Antiope	
Indolent Unavailability	Chicken Invasion	28	10%	38%	Alpha Antiope	
Ill Device	Boss Rush	10	62%	72%	Psi Antiope	
Devoted Glaciation	Chicken Invasion	24	25%	49%	Psi Antiope	
Numb Batsman	Darkness	30	9%	39%	Psi Antiope	
Grotesque Lab	Darkness	12	62%	74%	Psi Antiope	
Lucky Estancia	Chicken Invasion	21	18%	39%	Psi Antiope	
Winged Turbofan	Darkness	21	12%	33%	Psi Antiope	
Joyful Scrollwork	Feather Fields	15	54%	69%	Chi Antiope	
Horrible Consolidator	Darkness	20	74%	94%	Chi Antiope	
Useless Codicil	Chicken Invasion	5	67%	72%	Chi Antiope	
Wavy Ripcord	Chicken Invasion	9	77%	86%	Chi Antiope	
Well-off Towpath	Chicken Invasion	8	87%	95%	Chi Antiope	
Crooked Cockfight	Chicken Invasion	36	53%	89%	Delta Antiope	
Substantial Surgery	Chicken Invasion	15	81%	96%	Delta Antiope	
Giddy Injury	Chicken Invasion	9	24%	33%	Delta Antiope	
Clean Historian	Chicken Invasion	20	77%	97%	Delta Antiope	
Drafty Childlessness	Chicken Invasion	27	49%	76%	Delta Antiope	
Busy Assonance	Darkness	6	8%	14%	Epsilon Antiope	
Sure-footed Spawner	Chicken Invasion	24	19%	43%	Tau Antiope	
Splendid Stalagmite	Chicken Invasion	12	61%	73%	Eta Antiope	
Avaricious Wheatgrass	Chicken Invasion	7	98%	100%	Eta Antiope	
Giant Reanalysis	Squawk Block	10	25%	35%	Eta Antiope	
Bogus Sureness	Boss Rush	10	46%	56%	Eta Antiope	
Upright Relegation	Chicken Invasion	10	40%	50%	Eta Antiope	
Utilized Carpaccio	Comet Chase	10	39%	49%	Eta Antiope	
Prudent Artfulness	Darkness	27	76%	100%	Rho Antiope	
Feline Pushrod	Chicken Invasion	20	48%	68%	Rho Antiope	
Close Disputation	Boss Rush	3	2%	5%	Rho Antiope	
Vague Subjunctive	Darkness	12	73%	85%	Rho Antiope	
Dead Religionist	Comet Chase	9	92%	100%	Rho Antiope	
Cavernous Gorgon	Boss Rush	3	66%	69%	Pi Antiope	
Quizzical Implicature	Darkness	24	28%	52%	Pi Antiope	
Sticky Groats	Comet Chase	11	90%	100%	Kappa Antiope	
Indolent Decider	Chicken Invasion	6	42%	48%	Kappa Antiope	
Imaginative Pommel	Supernova	14	31%	45%	Morpheus	
Vast Dreaminess	Supernova	11	69%	80%	Morpheus	
Expert Bowrider	Supernova	13	85%	98%	Morpheus	
Prize Ratio	Chicken Invasion	40	94%	100%	Morpheus	
Formal Romper	Chicken Invasion	20	45%	65%	Alpha Morpheus	
Cheap Enthusiasm	Chicken Invasion	40	16%	56%	Gamma Morpheus	
Stunning Contortionist	Chicken Invasion	27	18%	45%	Gamma Morpheus	
Starchy Reductase	Chicken Invasion	20	40%	60%	Delta Morpheus	
Boiling Gazette	Chicken Invasion	14	55%	69%	Zeta Morpheus	
Oily Switchover	Chicken Invasion	24	48%	72%	Zeta Morpheus	
Yawning Mandamus	Darkness	18	76%	94%	Zeta Morpheus	
Reflecting Tentativeness	Boss Rush	3	89%	92%	Zeta Morpheus	
Nonstop Bowrider	Supernova	14	72%	86%	Deioneus	
Utter Repugnance	Supernova	12	89%	100%	Deioneus	
Gloomy Youth	Supernova	8	63%	71%	Deioneus	
Violet Gourmand	Boss Rush	3	5%	8%	Deioneus	
Ecstatic Protection	Squawk Block	20	75%	95%	Deioneus	
Woeful Baseball	Chicken Invasion	30	43%	73%	Deioneus	
Round Citron	Chicken Invasion	30	40%	70%	Deioneus	
Functional Ceramicist	Chicken Invasion	30	99%	100%	Deioneus	
Immense Dearie	Darkness	9	60%	69%	Alpha Deioneus	
Colossal Sureness	Darkness	24	2%	26%	Beta Deioneus	
International Companionway	Darkness	10	73%	83%	Beta Deioneus	
Unpleasant Explanation	Squawk Block	15	69%	84%	Chi Deioneus	
Ecstatic Insect	Chicken Invasion	15	75%	90%	Chi Deioneus	
Nimble Contemporaneity	Chicken Invasion	14	15%	29%	Chi Deioneus	
Unruly Backflip	Comet Chase	13	48%	61%	Chi Deioneus	
Klutzy Showboat	Boss Rush	9	53%	62%	Chi Deioneus	
International Pommel	Feather Fields	6	65%	71%	Delta Deioneus	
Valid Rockfall	Chicken Invasion	9	47%	56%	Delta Deioneus	
Winged Restaurant	Chicken Invasion	30	96%	100%	Delta Deioneus	
Sentimental Complaint	Chicken Invasion	20	31%	51%	Delta Deioneus	
Powerful Explanation	Chicken Invasion	32	49%	81%	Epsilon Deioneus	
Haunting Muskmelon	Boss Rush	9	82%	91%	Epsilon Deioneus	
Grand Revetment	Chicken Invasion	30	70%	100%	Epsilon Deioneus	
Messy Heliport	Chicken Invasion	24	64%	88%	Epsilon Deioneus	
Wooden Marchese	Boss Rush	7	9%	16%	Epsilon Deioneus	
Merry Shopgirl	Squawk Block	13	7%	20%	Epsilon Deioneus	
Flustered Unavailability	Chicken Invasion	16	88%	100%	Tau Deioneus	
Supportive Jackscrew	Boss Rush	10	38%	48%	Eta Deioneus	
Zealous Vehicle	Chicken Invasion	24	29%	53%	Eta Deioneus	
Heavy Interdict	Chicken Invasion	12	1%	13%	Eta Deioneus	
Rare Scrunchie	Chicken Invasion	24	35%	59%	Eta Deioneus	
Ignorant Delectation	Meteor Storm	14	35%	49%	Mujaji	
Oddball Expander	Meteor Storm	6	88%	94%	Mujaji	
Puzzled Trainer	Meteor Storm	7	94%	100%	Mujaji	
Huge Farrago	Meteor Storm	5	67%	72%	Mujaji	
Punctual Companionway	Meteor Storm	15	81%	96%	Mujaji	
Oddball Protectiveness	Supernova	8	38%	46%	Empusa	
Distant Typicality	Supernova	8	27%	35%	Empusa	
Accurate Taproot	Boss Rush	6	56%	62%	Empusa	
Triangular Hellion	Chicken Invasion	6	20%	26%	Alpha Empusa	
Spicy Jackknife	Supernova	6	16%	22%	Perimede	
Elliptical Manoeuvre	Feather Fields	13	35%	48%	Perimede	
Stable Contemporaneity	Squawk Block	9	36%	45%	Alpha Perimede	
Watery Prescience	Boss Rush	4	7%	11%	Alpha Perimede	
Dapper Animality	Chicken Invasion	10	49%	59%	Alpha Perimede	
Yummy Sluggishness	Chicken Invasion	20	37%	57%	Alpha Perimede	
Exciting Basketmaker	Chicken Invasion	5	15%	20%	Alpha Perimede	
Irresponsible Fibrin	Chicken Invasion	8	31%	39%	Beta Perimede	
Canine Winner	Supernova	12	90%	100%	Dindymene	
Grouchy Bibliographer	Squawk Block	19	10%	29%	Dindymene	
Heartfelt Stranger	Chicken Invasion	10	22%	32%	Dindymene	
Orange Carryall	Darkness	8	74%	82%	Alpha Dindymene	
Low Capo	Chicken Invasion	28	99%	100%	Alpha Dindymene	
Dangerous Paperboy	Chicken Invasion	21	62%	83%	Alpha Dindymene	
Aggravating Photonics	Chicken Invasion	6	80%	86%	Alpha Dindymene	
Bountiful Weightiness	Darkness	16	52%	68%	Gamma Dindymene	
Long-term Gracefulness	Comet Chase	14	55%	69%	Gamma Dindymene	
Eager Swale	Chicken Invasion	24	74%	98%	Gamma Dindymene	
Imperfect Wheatgrass	Boss Rush	5	39%	44%	Gamma Dindymene	
Voluminous Gesticulation	Chicken Invasion	10	43%	53%	Gamma Dindymene	
Remote Evensong	Boss Rush	9	23%	32%	Gamma Dindymene	
Wordy Farmer	Chicken Invasion	30	96%	100%	Phi Dindymene	
Poor Dockyard	Chicken Invasion	18	30%	48%	Phi Dindymene	
Tricky Extent	Squawk Block	9	24%	33%	Upsilon Dindymene	
Novel Grogginess	Double Team	10	57%	67%	Upsilon Dindymene	U.C.O. 3 + U.C.O. 4
Private Lavishness	Squawk Block	13	19%	32%	Upsilon Dindymene	
Similar Subclass	Double Team	7	65%	72%	Upsilon Dindymene	Mysterious + King Crab
Exhausted Giantess	Chicken Invasion	24	91%	100%	Upsilon Dindymene	
Dark Witchery	Boss Rush	9	71%	80%	Upsilon Dindymene	
Unwitting Midland	Comet Chase	13	90%	100%	Zeta Dindymene	
Complete Permission	Supernova	6	83%	89%	Calydon	
Sparkling Thermals	Chicken Invasion	9	49%	58%	Calydon	
Familiar Holloware	Chicken Invasion	30	91%	100%	Calydon	
Hoarse Fluorite	Chicken Invasion	27	99%	100%	Calydon	
Crafty Reclassification	Chicken Invasion	40	1%	41%	Alpha Calydon	
Punctual Misquote	Squawk Block	8	55%	63%	Alpha Calydon	
Turbulent Refrigerator	Chicken Invasion	32	46%	78%	Alpha Calydon	
Sweltering Fractionation	Feather Fields	12	78%	90%	Alpha Calydon	
Boring Bedroom	Comet Chase	11	15%	26%	Alpha Calydon	
Meek Hoofprint	Chicken Invasion	16	32%	48%	Beta Calydon	
Blank Owner	Chicken Invasion	10	20%	30%	Beta Calydon	
Powerless Lionfish	Chicken Invasion	20	58%	78%	Gamma Calydon	
Sneaky Merino	Squawk Block	8	86%	94%	Delta Calydon	
Impressionable Forecourt	Boss Rush	8	30%	38%	Delta Calydon	
Harmonious Frisket	Feather Fields	7	71%	78%	Delta Calydon	
Weepy Sward	Boss Rush	5	16%	21%	Delta Calydon	
Immense Rheostat	Chicken Invasion	36	68%	100%	Delta Calydon	
Terrific Carryall	Chicken Invasion	8	55%	63%	Delta Calydon	
Vivacious Animality	Boss Rush	3	48%	51%	Epsilon Calydon	
Raw Scorekeeper	Chicken Invasion	8	76%	84%	Epsilon Calydon	
Agonizing Bread	Supernova	8	50%	58%	Acamas	
Peppery Starfield	Feather Fields	10	14%	24%	Acamas	
Extraneous Banyan	Feather Fields	8	77%	85%	Acamas	
Doting Metier	Comet Chase	12	84%	96%	Acamas	
Ethical Buyer	Comet Chase	7	25%	32%	Acamas	
Idle Exceptionality	Chicken Invasion	14	93%	100%	Acamas	
